started,started,started,2020-03-06 07:43:00
18,0.00504467603486322,0.005151391262188554,2020-03-06 12:00:55
19,0.005047090458914849,0.0052477698773145676,2020-03-06 12:00:58
20,0.005044107660585156,0.005250243179034442,2020-03-06 12:01:01
21,0.005047657119163068,0.005253162293229252,2020-03-06 12:01:04
22,0.005042361559557682,0.005277393269352615,2020-03-06 12:01:07
23,0.005040428576436132,0.005404421885032207,2020-03-06 12:01:09
24,0.00503979578567999,0.005249053705483675,2020-03-06 12:01:12
25,0.005039901599776766,0.005178391089430079,2020-03-06 12:01:15
26,0.0050410687186959995,0.005382044008001685,2020-03-06 12:01:18
27,0.0050420837067331825,0.005328401573933661,2020-03-06 12:01:20
28,0.005042202509807568,0.00539330585161224,2020-03-06 12:01:23
29,0.005037785451595031,0.0052073163096793,2020-03-06 12:01:26
30,0.005036223227329922,0.005318483163136989,2020-03-06 12:01:28
31,0.005038858421067608,0.005331617663614452,2020-03-06 12:01:31
32,0.005039061193440294,0.005305673403199762,2020-03-06 12:01:34
33,0.005037375180882976,0.005312997702276334,2020-03-06 12:01:37
34,0.0050369357468943434,0.005318185256328434,2020-03-06 12:01:40
35,0.0050357015562369255,0.00535773707088083,2020-03-06 12:01:42
36,0.005036509683329269,0.0052378245745785534,2020-03-06 12:01:45
37,0.0050361062918545295,0.0052922157337889075,2020-03-06 12:01:48
38,0.005039077688087808,0.005272092996165156,2020-03-06 12:01:51
39,0.005035886920803616,0.005366166296880692,2020-03-06 12:01:54
40,0.005036914570864739,0.00519327336223796,2020-03-06 12:01:56
41,0.005036798921737371,0.005210754927247763,2020-03-06 12:01:59
42,0.005035050901921189,0.005273580260109156,2020-03-06 12:02:02
43,0.005035740153282775,0.005243600346148014,2020-03-06 12:02:05
44,0.005035789620712505,0.005377672205213457,2020-03-06 12:02:07
45,0.005036266277881062,0.005225421191425994,2020-03-06 12:02:10
46,0.005034661308551828,0.0052602391806431115,2020-03-06 12:02:13
47,0.005035995647760359,0.005258868739474565,2020-03-06 12:02:16
48,0.005035288278541878,0.005297415540553629,2020-03-06 12:02:19
49,0.00503736255188466,0.005311318731401116,2020-03-06 12:02:22
50,0.0050342300731741575,0.005282883153995499,2020-03-06 12:02:24
51,0.005034043920946354,0.005367446807213128,2020-03-06 12:02:27
52,0.005035474609108048,0.005460733314976096,2020-03-06 12:02:30
53,0.005033554170769474,0.005317465343978256,2020-03-06 12:02:33
54,0.0050371632835305965,0.005303305108100176,2020-03-06 12:02:35
55,0.005034688756147281,0.005274654307868332,2020-03-06 12:02:38
56,0.005034631499624315,0.005210214323597029,2020-03-06 12:02:41
57,0.005036493831030126,0.005295988637953997,2020-03-06 12:02:44
58,0.005033813600250064,0.005223044077865779,2020-03-06 12:02:47
59,0.005037799101085105,0.005211515701375902,2020-03-06 12:02:49
60,0.005035593156233853,0.005297851108480245,2020-03-06 12:02:52
61,0.005033647692729289,0.005248603702057153,2020-03-06 12:02:55
started,started,started,2020-03-06 12:10:06
1,0.2779794470902453,0.03154992312192917,2020-03-06 12:10:08
2,0.008743150658403517,0.005787032365333289,2020-03-06 12:10:11
3,0.005299584946680999,0.0054752364521846175,2020-03-06 12:10:14
4,0.005233808352895979,0.005379745620302856,2020-03-06 12:10:17
5,0.005194289540436039,0.005416422674898058,2020-03-06 12:10:19
6,0.005163729938856782,0.005389905418269336,2020-03-06 12:10:22
7,0.005140289656012088,0.005390213627833873,2020-03-06 12:10:25
8,0.00511457055562724,0.005436223931610584,2020-03-06 12:10:28
9,0.005091945260948112,0.005356894573196769,2020-03-06 12:10:30
10,0.005076914979475187,0.005290551052894443,2020-03-06 12:10:33
11,0.0050638074052011504,0.005342237709555775,2020-03-06 12:10:36
12,0.005058897465982652,0.005279914301354438,2020-03-06 12:10:39
13,0.0050561763990194875,0.005241101200226694,2020-03-06 12:10:41
14,0.005053071613945331,0.005298303149174899,2020-03-06 12:10:44
15,0.005053342825317002,0.005247931752819568,2020-03-06 12:10:47
16,0.005050125028211491,0.005324858240783215,2020-03-06 12:10:50
17,0.005047465329461381,0.005200476327445358,2020-03-06 12:10:52
18,0.005048780325562396,0.005203261680435389,2020-03-06 12:10:55
19,0.005049275851920776,0.0052616719040088356,2020-03-06 12:10:58
20,0.005045225133736294,0.005270582856610417,2020-03-06 12:11:01
21,0.00504571115201775,0.0053423866629600525,2020-03-06 12:11:04
22,0.005045244878105132,0.005438165389932692,2020-03-06 12:11:06
23,0.005047878169566922,0.005404296389315277,2020-03-06 12:11:09
24,0.00504224421291328,0.0053912976291030645,2020-03-06 12:11:12
25,0.005043801564247685,0.005201790598221123,2020-03-06 12:11:15
26,0.005044515477493405,0.005371083214413375,2020-03-06 12:11:17
27,0.005039920630792142,0.005221824278123677,2020-03-06 12:11:20
28,0.005042668299894806,0.0053279202547855675,2020-03-06 12:11:23
29,0.005041099979099652,0.005222337495069951,2020-03-06 12:11:26
30,0.005042322926183647,0.005277535994537175,2020-03-06 12:11:29
31,0.005040900690930215,0.005325903999619186,2020-03-06 12:11:32
32,0.005040286518369161,0.005302495905198157,2020-03-06 12:11:34
33,0.005039610348456929,0.005397168279159814,2020-03-06 12:11:37
34,0.005039522698452921,0.00519481033552438,2020-03-06 12:11:40
35,0.005039725857225398,0.005368430691305548,2020-03-06 12:11:43
36,0.005040232253967659,0.005274783063214272,2020-03-06 12:11:45
37,0.005040635539760404,0.005301951372530311,2020-03-06 12:11:48
38,0.005040537805382347,0.005396454536821693,2020-03-06 12:11:51
39,0.005039223831424371,0.005296651681419462,2020-03-06 12:11:54
40,0.005039406312854155,0.005164781759958714,2020-03-06 12:11:56
41,0.005038168728813952,0.005327285558450967,2020-03-06 12:11:59
42,0.005036917401160648,0.005308642867021263,2020-03-06 12:12:02
43,0.005041334786326856,0.005132957536261529,2020-03-06 12:12:05
44,0.005037433299374707,0.005327715305611491,2020-03-06 12:12:08
45,0.0050390527586961255,0.00519890000578016,2020-03-06 12:12:10
46,0.005037620723089005,0.0052271977765485644,2020-03-06 12:12:13
47,0.005039269301102411,0.005180139327421784,2020-03-06 12:12:16
48,0.00503847031054873,0.005355926288757473,2020-03-06 12:12:18
49,0.005036257694521588,0.0052760145626962185,2020-03-06 12:12:21
50,0.00504021440031575,0.005366924277041107,2020-03-06 12:12:24
51,0.005037118284467687,0.005225480359513313,2020-03-06 12:12:27
52,0.005036845740512119,0.0053124623955227435,2020-03-06 12:12:30
53,0.005036805292380089,0.005352652166038752,2020-03-06 12:12:33
54,0.005036162374316589,0.005219784856308252,2020-03-06 12:12:35
55,0.005037288995565358,0.005266670254059136,2020-03-06 12:12:38
56,0.005038420760554942,0.005234720418229699,2020-03-06 12:12:41
57,0.005036900264164763,0.005272998125292361,2020-03-06 12:12:44
58,0.005034935825788383,0.005300024873577058,2020-03-06 12:12:47
59,0.005037024673338689,0.005388388817664236,2020-03-06 12:12:49
60,0.005037835505229573,0.0053094003815203905,2020-03-06 12:12:52
61,0.005036740324374104,0.00528327509528026,2020-03-06 12:12:55
started,started,started,2020-03-06 12:20:06
1,0.3096335313765081,0.020712658297270536,2020-03-06 12:20:09
2,0.007611648734421172,0.005614537454675883,2020-03-06 12:20:11
3,0.005243533819332613,0.005466337141115218,2020-03-06 12:20:14
4,0.005195073223613361,0.00552774709649384,2020-03-06 12:20:17
5,0.0051680163377962,0.005468241346534342,2020-03-06 12:20:20
6,0.005144286220430905,0.005438639549538493,2020-03-06 12:20:23
7,0.005124205984307308,0.005361679184716195,2020-03-06 12:20:26
8,0.005105605213539609,0.00532753171864897,2020-03-06 12:20:28
9,0.005089050490765813,0.005375978711526841,2020-03-06 12:20:31
10,0.005079207758597554,0.005450832890346646,2020-03-06 12:20:34
11,0.005069865216005673,0.005412300582975149,2020-03-06 12:20:37
12,0.005065565882580923,0.005290842324029654,2020-03-06 12:20:40
13,0.005060411436509684,0.005390751524828374,2020-03-06 12:20:42
14,0.005058349580801231,0.005253467301372439,2020-03-06 12:20:45
15,0.005055439182894027,0.005300457880366594,2020-03-06 12:20:48
16,0.005053139174462738,0.0053683623555116355,2020-03-06 12:20:51
17,0.005050212549415569,0.005384738848078996,2020-03-06 12:20:53
18,0.005047230987895465,0.005234415701124817,2020-03-06 12:20:56
19,0.005045865659093392,0.0054291385458782315,2020-03-06 12:20:59
20,0.0050471841427002185,0.005156818107934669,2020-03-06 12:21:02
21,0.005044705024755276,0.005321044998709112,2020-03-06 12:21:05
22,0.005043634277907141,0.005255227559246123,2020-03-06 12:21:08
23,0.0050425582221900744,0.005293254449497908,2020-03-06 12:21:11
24,0.005043653066184187,0.005507832742296159,2020-03-06 12:21:13
25,0.005040908818536088,0.005279600678477436,2020-03-06 12:21:16
26,0.005038036573480101,0.005414859799202532,2020-03-06 12:21:19
27,0.005041892017759647,0.005385468422900885,2020-03-06 12:21:22
28,0.005039884446268069,0.005270097986795008,2020-03-06 12:21:25
29,0.00504088634294821,0.005274955648928881,2020-03-06 12:21:28
30,0.005037509823046255,0.005273673858027905,2020-03-06 12:21:30
31,0.005038203717810465,0.0052511722315102816,2020-03-06 12:21:33
32,0.005037114562479951,0.0051758927293121815,2020-03-06 12:21:36
33,0.005035093516534102,0.0053757442510686815,2020-03-06 12:21:39
34,0.005037541497921479,0.005367655481677502,2020-03-06 12:21:41
35,0.005033810343923615,0.0052787119639106095,2020-03-06 12:21:44
36,0.005036862150944294,0.005200499726925045,2020-03-06 12:21:47
